document_id,document_type,policy_id,title,version,status,effective_date,end_date,business_unit,jurisdiction,classification,access_scope,file_path,expected_current_as_of_2026_07_21
POL-SET-001-V1.0,POLICY,POL-SET-001,Settlement Exception Management Policy,1.0,SUPERSEDED,2024-01-01,2024-12-31,SETTLEMENTS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SET-001_settlement_exception_management_policy_v1.0.pdf,N
POL-SET-001-V2.0,POLICY,POL-SET-001,Settlement Exception Management Policy,2.0,SUPERSEDED,2025-01-01,2025-12-31,SETTLEMENTS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SET-001_settlement_exception_management_policy_v2.0.pdf,N
POL-SET-001-V3.0,POLICY,POL-SET-001,Settlement Exception Management Policy,3.0,ACTIVE,2026-01-01,2026-09-30,SETTLEMENTS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SET-001_settlement_exception_management_policy_v3.0.pdf,Y
POL-SET-001-V4.0,POLICY,POL-SET-001,Settlement Exception Management Policy,4.0,APPROVED_FUTURE,2026-10-01,2027-12-31,SETTLEMENTS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SET-001_settlement_exception_management_policy_v4.0.pdf,N
POL-REC-001-V1.0,POLICY,POL-REC-001,Reconciliation Break Management Policy,1.0,SUPERSEDED,2024-01-01,2024-12-31,RECONCILIATION,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-REC-001_reconciliation_break_management_policy_v1.0.pdf,N
POL-REC-001-V2.0,POLICY,POL-REC-001,Reconciliation Break Management Policy,2.0,SUPERSEDED,2025-01-01,2025-12-31,RECONCILIATION,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-REC-001_reconciliation_break_management_policy_v2.0.pdf,N
POL-REC-001-V3.0,POLICY,POL-REC-001,Reconciliation Break Management Policy,3.0,ACTIVE,2026-01-01,2026-09-30,RECONCILIATION,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-REC-001_reconciliation_break_management_policy_v3.0.pdf,Y
POL-REC-001-V4.0,POLICY,POL-REC-001,Reconciliation Break Management Policy,4.0,APPROVED_FUTURE,2026-10-01,2027-12-31,RECONCILIATION,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-REC-001_reconciliation_break_management_policy_v4.0.pdf,N
POL-CUS-001-V1.0,POLICY,POL-CUS-001,Custody Account Operations and Control Policy,1.0,SUPERSEDED,2024-01-01,2024-12-31,GLOBAL_CUSTODY,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-CUS-001_custody_account_operations_and_control_policy_v1.0.pdf,N
POL-CUS-001-V2.0,POLICY,POL-CUS-001,Custody Account Operations and Control Policy,2.0,SUPERSEDED,2025-01-01,2025-12-31,GLOBAL_CUSTODY,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-CUS-001_custody_account_operations_and_control_policy_v2.0.pdf,N
POL-CUS-001-V3.0,POLICY,POL-CUS-001,Custody Account Operations and Control Policy,3.0,ACTIVE,2026-01-01,2026-09-30,GLOBAL_CUSTODY,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-CUS-001_custody_account_operations_and_control_policy_v3.0.pdf,Y
POL-CUS-001-V4.0,POLICY,POL-CUS-001,Custody Account Operations and Control Policy,4.0,APPROVED_FUTURE,2026-10-01,2027-12-31,GLOBAL_CUSTODY,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-CUS-001_custody_account_operations_and_control_policy_v4.0.pdf,N
POL-CA-001-V1.0,POLICY,POL-CA-001,Corporate Actions Processing Policy,1.0,SUPERSEDED,2024-01-01,2024-12-31,CORPORATE_ACTIONS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-CA-001_corporate_actions_processing_policy_v1.0.pdf,N
POL-CA-001-V2.0,POLICY,POL-CA-001,Corporate Actions Processing Policy,2.0,SUPERSEDED,2025-01-01,2025-12-31,CORPORATE_ACTIONS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-CA-001_corporate_actions_processing_policy_v2.0.pdf,N
POL-CA-001-V3.0,POLICY,POL-CA-001,Corporate Actions Processing Policy,3.0,ACTIVE,2026-01-01,2026-09-30,CORPORATE_ACTIONS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-CA-001_corporate_actions_processing_policy_v3.0.pdf,Y
POL-CA-001-V4.0,POLICY,POL-CA-001,Corporate Actions Processing Policy,4.0,APPROVED_FUTURE,2026-10-01,2027-12-31,CORPORATE_ACTIONS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-CA-001_corporate_actions_processing_policy_v4.0.pdf,N
POL-SEC-001-V1.0,POLICY,POL-SEC-001,"Data Access, Privacy, and AI Usage Policy",1.0,SUPERSEDED,2024-01-01,2024-12-31,ENTERPRISE,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,"pdfs/policies/POL-SEC-001_data_access,_privacy,_and_ai_usage_policy_v1.0.pdf",N
POL-SEC-001-V2.0,POLICY,POL-SEC-001,"Data Access, Privacy, and AI Usage Policy",2.0,SUPERSEDED,2025-01-01,2025-12-31,ENTERPRISE,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,"pdfs/policies/POL-SEC-001_data_access,_privacy,_and_ai_usage_policy_v2.0.pdf",N
POL-SEC-001-V3.0,POLICY,POL-SEC-001,"Data Access, Privacy, and AI Usage Policy",3.0,ACTIVE,2026-01-01,2026-09-30,ENTERPRISE,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,"pdfs/policies/POL-SEC-001_data_access,_privacy,_and_ai_usage_policy_v3.0.pdf",Y
POL-SEC-001-V4.0,POLICY,POL-SEC-001,"Data Access, Privacy, and AI Usage Policy",4.0,APPROVED_FUTURE,2026-10-01,2027-12-31,ENTERPRISE,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,"pdfs/policies/POL-SEC-001_data_access,_privacy,_and_ai_usage_policy_v4.0.pdf",N
POL-SLA-001-V1.0,POLICY,POL-SLA-001,Operational SLA and Escalation Policy,1.0,SUPERSEDED,2024-01-01,2024-12-31,ASSET_SERVICING,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SLA-001_operational_sla_and_escalation_policy_v1.0.pdf,N
POL-SLA-001-V2.0,POLICY,POL-SLA-001,Operational SLA and Escalation Policy,2.0,SUPERSEDED,2025-01-01,2025-12-31,ASSET_SERVICING,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SLA-001_operational_sla_and_escalation_policy_v2.0.pdf,N
POL-SLA-001-V3.0,POLICY,POL-SLA-001,Operational SLA and Escalation Policy,3.0,ACTIVE,2026-01-01,2026-09-30,ASSET_SERVICING,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SLA-001_operational_sla_and_escalation_policy_v3.0.pdf,Y
POL-SLA-001-V4.0,POLICY,POL-SLA-001,Operational SLA and Escalation Policy,4.0,APPROVED_FUTURE,2026-10-01,2027-12-31,ASSET_SERVICING,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SLA-001_operational_sla_and_escalation_policy_v4.0.pdf,N
SOP-SET-001,SOP,POL-SET-001,Settlement Exception Investigation and Resolution,1.0,ACTIVE,2026-01-01,2027-12-31,SETTLEMENTS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/sops/SOP-SET-001_settlement_exception_investigation_and_resolution.pdf,Y
SOP-REC-001,SOP,POL-REC-001,Cash Reconciliation Daily Investigation,1.0,ACTIVE,2026-01-01,2027-12-31,RECONCILIATION,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/sops/SOP-REC-001_cash_reconciliation_daily_investigation.pdf,Y
SOP-REC-002,SOP,POL-REC-001,Position Reconciliation Break Resolution,1.0,ACTIVE,2026-01-01,2027-12-31,RECONCILIATION,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/sops/SOP-REC-002_position_reconciliation_break_resolution.pdf,Y
SOP-CUS-001,SOP,POL-CUS-001,Custody Account Maintenance and Maker-Checker,1.0,ACTIVE,2026-01-01,2027-12-31,GLOBAL_CUSTODY,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/sops/SOP-CUS-001_custody_account_maintenance_and_maker-checker.pdf,Y
SOP-CA-001,SOP,POL-CA-001,Voluntary Corporate Action Election Processing,1.0,ACTIVE,2026-01-01,2027-12-31,CORPORATE_ACTIONS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/sops/SOP-CA-001_voluntary_corporate_action_election_processing.pdf,Y
SOP-AI-001,SOP,POL-SEC-001,AI Copilot Human Escalation and Audit Review,1.0,ACTIVE,2026-01-01,2027-12-31,ENTERPRISE,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/sops/SOP-AI-001_ai_copilot_human_escalation_and_audit_review.pdf,Y
